	v	H	I	N	A	L	KAT
60	lakik	0.67449	0.25513	0.02053	0.01662	0.03324	0
61	lát	0.59136	0.17608	0.04319	0.17442	0.01495	0
62	leszáll	0.2429	0.03155	0.68612	0.00789	0.03155	0
63	létezik	0.24187	0.28798	0.1353	0.322	0.01285	1
64	leül	0.76409	0.15866	0.02088	0.00835	0.04802	0
65	megáll	0.24455	0.04727	0.26909	0.41	0.02909	1
66	megfelel	0.09921	0.19444	0.18948	0.50893	0.00794	1
67	meghal	0.9639	0.00722	0.00413	0.00825	0.0165	0
68	meghalad	0.02786	0.08514	0.06192	0.82043	0.00464	1
69	megjegyez	0.81636	0.08182	0.03636	0.06545	0.0	0
70	megmarad	0.14617	0.13115	0.26093	0.43169	0.03005	1
71	megnyílik	0.03148	0.09895	0.15967	0.7069	0.003	1
72	megöl	0.78771	0.09078	0.02235	0.0419	0.05726	0
73	megszólal	0.77019	0.04658	0.03416	0.06056	0.08851	0
74	megtalál	0.6451	0.20629	0.04371	0.05944	0.04545	0
75	megtanul	0.84346	0.069	0.01133	0.01957	0.05664	0
76	megtud	0.60285	0.2769	0.03006	0.07278	0.01741	0
77	megváltozik	0.16158	0.06554	0.03051	0.74124	0.00113	1
78	mutat	0.08965	0.08965	0.04803	0.76307	0.00961	1
79	nevez	0.66247	0.24528	0.01468	0.07128	0.00629	0
80	néz	0.76703	0.12903	0.03226	0.02509	0.04659	0
81	nő	0.28537	0.09512	0.17561	0.43415	0.00976	1
82	örül	0.70513	0.22436	0.01068	0.03205	0.02778	0
83	pihen	0.38559	0.2839	0.16949	0.0678	0.09322	0
84	remél	0.38547	0.52793	0.01397	0.07263	0.0	0
85	siet	0.69882	0.23529	0.01647	0.03294	0.01647	0
86	szán	0.1889	0.75667	0.01387	0.03842	0.00213	0
87	szerez	0.34766	0.59065	0.02617	0.03178	0.00374	0
88	szól	0.23345	0.05226	0.13473	0.56562	0.01394	1
89	találkozik	0.65696	0.30561	0.0104	0.01871	0.00832	0
90	telik	0.00292	0.00437	0.07434	0.91837	0.0	1
91	törődik	0.51883	0.27197	0.01674	0.00418	0.18828	0
92	utazik	0.72351	0.23841	0.00911	0.01573	0.01325	0
93	ül	0.82159	0.08051	0.02196	0.00823	0.0677	0
94	választ	0.55528	0.38084	0.01474	0.02457	0.02457	0
95	változik	0.22436	0.07265	0.06944	0.63248	0.00107	1
96	visszaesik	0.08547	0.41453	0.08547	0.41026	0.00427	1
97	visszajön	0.56948	0.07357	0.14441	0.14169	0.07084	0
98	vonatkozik	0.04082	0.04227	0.02187	0.88921	0.00583	1
99	zavar	0.33453	0.11871	0.14748	0.32374	0.07554	1
