v	H	I	N	A	L
fordul	0.41169	0.29602	0.05100	0.23134	0.00995
halad	0.19746	0.40531	0.18822	0.19746	0.01155
hall	0.95279	0.00858	0.01717	0.00858	0.01288
határoz	0.19808	0.75719	0.01278	0.03195	0.00000
hisz	0.76554	0.08475	0.01977	0.09887	0.03107
hív	0.69293	0.18750	0.01902	0.07880	0.02174
hoz	0.26648	0.45702	0.04441	0.22779	0.00430
indít	0.17355	0.75702	0.03471	0.03306	0.00165
indokol	0.28066	0.41340	0.01138	0.29456	0.00000
irányít	0.51847	0.37315	0.04803	0.05542	0.00493
iszik	0.86467	0.05556	0.00570	0.01425	0.05983
jelent	0.11285	0.13950	0.10815	0.61129	0.02821
jut	0.17997	0.25753	0.23494	0.31175	0.01581
kér	0.52049	0.43399	0.01366	0.02580	0.00607
kezdeményez	0.34350	0.63484	0.00886	0.01083	0.00197
kiegészít	0.19331	0.43123	0.17844	0.19331	0.00372
kikerül	0.41052	0.18450	0.15221	0.21771	0.03506
kimond	0.48577	0.21632	0.02846	0.26755	0.00190
kinyit	0.62824	0.25647	0.08235	0.01647	0.01647
kivált	0.11190	0.05654	0.08127	0.74794	0.00236
kötelez	0.08289	0.37701	0.03476	0.50535	0.00000
lakik	0.67449	0.25513	0.02053	0.01662	0.03324
lát	0.59136	0.17608	0.04319	0.17442	0.01495
leszáll	0.24290	0.03155	0.68612	0.00789	0.03155
létezik	0.24187	0.28798	0.13530	0.32200	0.01285
leül	0.76409	0.15866	0.02088	0.00835	0.04802
megáll	0.24455	0.04727	0.26909	0.41000	0.02909
megfelel	0.09921	0.19444	0.18948	0.50893	0.00794
meghal	0.96390	0.00722	0.00413	0.00825	0.01650
meghalad	0.02786	0.08514	0.06192	0.82043	0.00464
megjegyez	0.81636	0.08182	0.03636	0.06545	0.00000
megmarad	0.14617	0.13115	0.26093	0.43169	0.03005
megnyílik	0.03148	0.09895	0.15967	0.70690	0.00300
megöl	0.78771	0.09078	0.02235	0.04190	0.05726
megszólal	0.77019	0.04658	0.03416	0.06056	0.08851
megtalál	0.64510	0.20629	0.04371	0.05944	0.04545
megtanul	0.84346	0.06900	0.01133	0.01957	0.05664
megtud	0.60285	0.27690	0.03006	0.07278	0.01741
megváltozik	0.16158	0.06554	0.03051	0.74124	0.00113
mutat	0.08965	0.08965	0.04803	0.76307	0.00961
nevez	0.66247	0.24528	0.01468	0.07128	0.00629
néz	0.76703	0.12903	0.03226	0.02509	0.04659
nő	0.28537	0.09512	0.17561	0.43415	0.00976
örül	0.70513	0.22436	0.01068	0.03205	0.02778
pihen	0.38559	0.28390	0.16949	0.06780	0.09322
remél	0.38547	0.52793	0.01397	0.07263	0.00000
siet	0.69882	0.23529	0.01647	0.03294	0.01647
szán	0.18890	0.75667	0.01387	0.03842	0.00213
szerez	0.34766	0.59065	0.02617	0.03178	0.00374
szól	0.23345	0.05226	0.13473	0.56562	0.01394
találkozik	0.65696	0.30561	0.01040	0.01871	0.00832
telik	0.00292	0.00437	0.07434	0.91837	0.00000
törődik	0.51883	0.27197	0.01674	0.00418	0.18828
utazik	0.72351	0.23841	0.00911	0.01573	0.01325
ül	0.82159	0.08051	0.02196	0.00823	0.06770
választ	0.55528	0.38084	0.01474	0.02457	0.02457
változik	0.22436	0.07265	0.06944	0.63248	0.00107
visszaesik	0.08547	0.41453	0.08547	0.41026	0.00427
visszajön	0.56948	0.07357	0.14441	0.14169	0.07084
vonatkozik	0.04082	0.04227	0.02187	0.88921	0.00583
zavar	0.33453	0.11871	0.14748	0.32374	0.07554
